id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns
389,505338028941,505338605044,576103,-6333,45192
390,505339020955,505339539039,518084,-7986,-58019
391,505340009669,505340450019,440350,-11286,-77734
392,505341031951,505341493090,461139,22282,20789
393,505342043732,505342382023,338291,11781,-122848
394,505343061906,505343458751,396845,18174,58554
395,505344043981,505344429789,385808,-17925,-11037
396,505345050832,505345376381,325549,6851,-60259
397,505346045565,505346404662,359097,-5267,33548
398,505347050968,505347471939,420971,5403,61874
399,505348049686,505348576435,526749,-1282,105778
400,505349048949,505349473953,425004,-737,-101745
401,505350047333,505350481216,433883,-1616,8879
402,505351023372,505351377643,354271,-23961,-79612
403,505352032848,505352481243,448395,9476,94124
404,505353026317,505353475270,448953,-6531,558
405,505354031931,505354458143,426212,5614,-22741
406,505355024490,505355428854,404364,-7441,-21848
407,505356032984,505356488522,455538,8494,51174
408,505357025321,505357488920,463599,-7663,8061
409,505358035435,505358425903,390468,10114,-73131
410,505359034472,505359380273,345801,-963,-44667
411,505360025192,505360346338,321146,-9280,-24655
412,505361025461,505361327358,301897,269,-19249
413,505362029282,505362337826,308544,3821,6647
414,505363029353,505363365953,336600,71,28056
415,505364023243,505364299620,276377,-6110,-60223
416,505365024968,505365295699,270731,1725,-5646
417,505366023323,505366342396,319073,-1645,48342
418,505367024684,505367292598,267914,1361,-51159
419,505368023441,505368316035,292594,-1243,24680
420,505369023579,505369286019,262440,138,-30154
421,505370028452,505370342880,314428,4873,51988
422,505371025615,505371312636,287021,-2837,-27407
423,505372021938,505372316919,294981,-3677,7960
424,505373023822,505373342891,319069,1884,24088
425,505374022685,505374339114,316429,-1137,-2640
426,505375023272,505375285494,262222,587,-54207
427,505376027755,505376431613,403858,4483,141636
428,505377023794,505377606879,583085,-3961,179227
429,505378022489,505378548953,526464,-1305,-56621
430,505379024076,505379519403,495327,1587,-31137
431,505380022693,505380620111,597418,-1383,102091
432,505381023979,505381514934,490955,1286,-106463
433,505382009333,505382597310,587977,-14646,97022
434,505383022798,505383514106,491308,13465,-96669
435,505384011436,505384554770,543334,-11362,52026
436,505385024845,505385348157,323312,13409,-220022
437,505386125795,505386480526,354731,100950,31419
438,505387025376,505387341003,315627,-100419,-39104
439,505388023115,505388298918,275803,-2261,-39824
440,505389027903,505389378275,350372,4788,74569
441,505390023869,505390283392,259523,-4034,-90849
442,505391028556,505391330060,301504,4687,41981
443,505392024650,505392340153,315503,-3906,13999
444,505393024616,505393335474,310858,-34,-4645
445,505394024665,505394371278,346613,49,35755
446,505395021600,505395359597,337997,-3065,-8616
447,505396023054,505396392760,369706,1454,31709
448,505397021658,505397372666,351008,-1396,-18698
449,505398022993,505398246904,223911,1335,-127097
450,505399023938,505399331628,307690,945,83779
451,505400023956,505400337309,313353,18,5663
452,505401025098,505401294796,269698,1142,-43655
453,505402024723,505402352000,327277,-375,57579
454,505403023108,505403357674,334566,-1615,7289
455,505404024019,505404366963,342944,911,8378
456,505405022770,505405374903,352133,-1249,9189
457,505406023110,505406323460,300350,340,-51783
458,505407023412,505407338510,315098,302,14748
459,505408023876,505408303442,279566,464,-35532
460,505409023541,505409327587,304046,-335,24480
461,505410023476,505410310869,287393,-65,-16653
462,505411023824,505411337208,313384,348,25991
463,505412025378,505412335094,309716,1554,-3668
464,505413022580,505413320274,297694,-2798,-12022
465,505414023578,505414326151,302573,998,4879
466,505415023469,505415315879,292410,-109,-10163
467,505416023186,505416289985,266799,-283,-25611
468,505417022794,505417405192,382398,-392,115599
469,505418023789,505418366596,342807,995,-39591
470,505419027823,505419450893,423070,4034,80263
471,505420023640,505420422240,398600,-4183,-24470
472,505421022252,505421441288,419036,-1388,20436
473,505422022892,505422456317,433425,640,14389
474,505423021739,505423488896,467157,-1153,33732
475,505424026580,505424685279,658699,4841,191542
476,505425024030,505425454206,430176,-2550,-228523
477,505426025517,505426503771,478254,1487,48078
478,505427031420,505427435399,403979,5903,-74275
479,505428014559,505428470789,456230,-16861,52251
480,505429024551,505429464620,440069,9992,-16161
481,505430024271,505430494700,470429,-280,30360
482,505431023589,505431450740,427151,-682,-43278
483,505432030197,505432520413,490216,6608,63065
484,505433024182,505433423004,398822,-6015,-91394
485,505434025691,505434468705,443014,1509,44192
486,505435025071,505435497616,472545,-620,29531
487,505436030459,505436395203,364744,5388,-107801
488,505437024116,505437535797,511681,-6343,146937
489,505438023362,505438378805,355443,-754,-156238
490,505439024101,505439456155,432054,739,76611
491,505440022765,505440513047,490282,-1336,58228
492,505441021756,505441377165,355409,-1009,-134873
493,505442025200,505442472518,447318,3444,91909
494,505443024030,505443358921,334891,-1170,-112427
495,505444022053,505444323855,301802,-1977,-33089
496,505445023504,505445331812,308308,1451,6506
497,505446024584,505446317719,293135,1080,-15173
498,505447030223,505447386458,356235,5639,63100
499,505448025226,505448354224,328998,-4997,-27237
500,505449023175,505449325153,301978,-2051,-27020
501,505450023605,505450376988,353383,430,51405
502,505451022332,505451317338,295006,-1273,-58377
503,505452025386,505452359555,334169,3054,39163
504,505453023078,505453352037,328959,-2308,-5210
505,505454025349,505454276478,251129,2271,-77830
506,505455028883,505455307034,278151,3534,27022
507,505456025785,505456529096,503311,-3098,225160
508,505457031540,505457392678,361138,5755,-142173
509,505458023733,505458359440,335707,-7807,-25431
510,505459023694,505459268845,245151,-39,-90556
511,505460022708,505460315088,292380,-986,47229
512,505461023258,505461414450,391192,550,98812
513,505462022320,505462278277,255957,-938,-135235
514,505463053035,505463528404,475369,30715,219412
515,505464048835,505464363146,314311,-4200,-161058
516,505465049214,505465516868,467654,379,153343
517,505466048912,505466456649,407737,-302,-59917
518,505467053613,505467408939,355326,4701,-52411
519,505468047866,505468562176,514310,-5747,158984
520,505469033720,505469360621,326901,-14146,-187409
521,505470026081,505470462294,436213,-7639,109312
522,505471031044,505471655687,624643,4963,188430
523,505472037493,505472418183,380690,6449,-243953
524,505473020678,505473418215,397537,-16815,16847
525,505474022155,505474337501,315346,1477,-82191
526,505475026814,505475319787,292973,4659,-22373
527,505476021420,505476382131,360711,-5394,67738
528,505477021218,505477339404,318186,-202,-42525
529,505478021939,505478426273,404334,721,86148
530,505479022798,505479496424,473626,859,69292
531,505480023155,505480433235,410080,357,-63546
532,505481020578,505481460430,439852,-2577,29772
533,505482021861,505482425472,403611,1283,-36241
534,505483026782,505483509362,482580,4921,78969
535,505484019736,505484439012,419276,-7046,-63304
536,505485022201,505485383139,360938,2465,-58338
537,505486020963,505486380687,359724,-1238,-1214
538,505487022342,505487447057,424715,1379,64991
539,505488021148,505488475416,454268,-1194,29553
540,505489021425,505489454995,433570,277,-20698
541,505490027836,505490477703,449867,6411,16297
542,505491022187,505491354247,332060,-5649,-117807
543,505492021789,505492394940,373151,-398,41091
544,505493021450,505493332528,311078,-339,-62073
545,505494022582,505494274495,251913,1132,-59165
546,505495022465,505495325630,303165,-117,51252
547,505496022019,505496274768,252749,-446,-50416
548,505497021552,505497310970,289418,-467,36669
549,505498021913,505498292689,270776,361,-18642
550,505499022087,505499287870,265783,174,-4993
551,505500023563,505500297808,274245,1476,8462
552,505501028088,505501366025,337937,4525,63692
553,505502023796,505502318889,295093,-4292,-42844
554,505503021696,505503350134,328438,-2100,33345
555,505504024009,505504275346,251337,2313,-77101
556,505505027998,505505340822,312824,3989,61487
557,505506052281,505506341129,288848,24283,-23976
558,505507042562,505507346073,303511,-9719,14663
559,505508037673,505508458328,420655,-4889,117144
560,505509054930,505509434230,379300,17257,-41355
561,505510052457,505510540424,487967,-2473,108667
562,505511043919,505511466155,422236,-8538,-65731
563,505512034726,505512301406,266680,-9193,-155556
564,505513026644,505513341498,314854,-8082,48174
565,505514029344,505514380207,350863,2700,36009
566,505515025067,505515332482,307415,-4277,-43448
567,505516025264,505516299490,274226,197,-33189
568,505517029582,505517409411,379829,4318,105603
569,505518022664,505518346654,323990,-6918,-55839
570,505519023036,505519317943,294907,372,-29083
571,505520024549,505520277808,253259,1513,-41648
572,505521022912,505521382622,359710,-1637,106451
573,505522025262,505522463148,437886,2350,78176
574,505523024120,505523393197,369077,-1142,-68809
575,505524023718,505524423555,399837,-402,30760
576,505525023131,505525462506,439375,-587,39538
577,505526023046,505526449822,426776,-85,-12599
578,505527022949,505527432047,409098,-97,-17678
579,505528028193,505528515085,486892,5244,77794
580,505529023700,505529410776,387076,-4493,-99816
581,505530023660,505530430684,407024,-40,19948
582,505531028218,505531462670,434452,4558,27428
583,505532180284,505532571483,391199,152066,-43253
584,505533014127,505533446967,432840,-166157,41641
585,505534009053,505534444066,435013,-5074,2173
586,505535023227,505535450923,427696,14174,-7317
587,505536022431,505536513830,491399,-796,63703
588,505537027147,505537402527,375380,4716,-116019
589,505538020863,505538395045,374182,-6284,-1198
590,505539021496,505539353262,331766,633,-42416
591,505540023654,505540357097,333443,2158,1677
592,505541022626,505541319661,297035,-1028,-36408
593,505542021778,505542339546,317768,-848,20733
594,505543021271,505543375266,353995,-507,36227
595,505544026749,505544405871,379122,5478,25127
596,505545021076,505545391432,370356,-5673,-8766
597,505546021687,505546327420,305733,611,-64623
598,505547027781,505547413168,385387,6094,79654
599,505548024700,505548421102,396402,-3081,11015
600,505549048351,505549557130,508779,23651,112377
601,505550031759,505550348165,316406,-16592,-192373
602,505551050818,505551409689,358871,19059,42465
603,505552041127,505552430964,389837,-9691,30966
604,505553049411,505553629132,579721,8284,189884
605,505554059047,505554696930,637883,9636,58162
606,505555036329,505555585495,549166,-22718,-88717
607,505556015568,505556575386,559818,-20761,10652
608,505557047417,505557426114,378697,31849,-181121
609,505558015506,505558340493,324987,-31911,-53710
610,505559015602,505559417954,402352,96,77365
611,505560048475,505560495575,447100,32873,44748
612,505561030173,505561322875,292702,-18302,-154398
613,505562030024,505562459022,428998,-149,136296
614,505563027375,505563352175,324800,-2649,-104198
615,505564031442,505564348947,317505,4067,-7295
616,505565023964,505565426834,402870,-7478,85365
617,505566025551,505566281976,256425,1587,-146445
618,505567022782,505567395936,373154,-2769,116729
619,505568023339,505568273706,250367,557,-122787
620,505569023398,505569393601,370203,59,119836
621,505570023710,505570279074,255364,312,-114839
622,505571022356,505571379811,357455,-1354,102091
