id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns,received
133,2135215569799,1773051310969096995,1773049175753527196,-9056,14732,1
134,2135216578139,1773051310970050655,1773049175753472516,8340,-54680,1
135,2135217570134,1773051310971084699,1773049175753514565,-8005,42049,1
136,2135218577668,1773051310972001554,1773049175753423886,7534,-90679,1
137,2135219568990,1773051310973033810,1773049175753464820,-8678,40934,1
138,2135220567423,1773051310974039731,1773049175753472308,-1567,7488,1
139,2135221566915,1773051310975153732,1773049175753586817,-508,114509,1
140,2135222578351,1773051310976132879,1773049175753554528,11436,-32289,1
141,2135223569305,1773051310977097828,1773049175753528523,-9046,-26005,1
142,2135224578007,1773051310978067644,1773049175753489637,8702,-38886,1
143,2135225569500,1773051310979095833,1773049175753526333,-8507,36696,1
144,2135226578772,1773051310980064130,1773049175753485358,9272,-40975,1
145,2135227569880,1773051310981176465,1773049175753606585,-8892,121227,1
146,2135228578613,1773051310982027225,1773049175753448612,8733,-157973,1
147,2135229569476,1773051310983094042,1773049175753524566,-9137,75954,1
148,2135230578222,1773051310984032225,1773049175753454003,8746,-70563,1
149,2135231569272,1773051310985064077,1773049175753494805,-8950,40802,1
150,2135232577610,1773051310986047658,1773049175753470048,8338,-24757,1
151,2135233569787,1773051310987141725,1773049175753571938,-7823,101890,1
152,2135234580032,1773051310988040328,1773049175753460296,10245,-111642,1
153,2135235569735,1773051310989101461,1773049175753531726,-10297,71430,1
154,2135236576965,1773051310990038370,1773049175753461405,7230,-70321,1
155,2135237568536,1773051310991012972,1773049175753444436,-8429,-16969,1
156,2135238567118,1773051310992124596,1773049175753557478,-1418,113042,1
157,2135239577517,1773051310993041766,1773049175753464249,10399,-93229,1
158,2135240568863,1773051310994209074,1773049175753640211,-8654,175962,1
159,2135241576162,1773051310995135614,1773049175753559452,7299,-80759,1
160,2135242568932,1773051310996089790,1773049175753520858,-7230,-38594,1
161,2135243576867,1773051310997043037,1773049175753466170,7935,-54688,1
162,2135244569806,1773051310998157946,1773049175753588140,-7061,121970,1
163,2135245577295,1773051310999023876,1773049175753446581,7489,-141559,1
164,2135246569742,1773051311000079733,1773049175753509991,-7553,63410,1
165,2135247578072,1773051311001039135,1773049175753461063,8330,-48928,1
166,2135248569609,1773051311001970486,1773049175753400877,-8463,-60186,1
167,2135249567509,1773051311003093247,1773049175753525738,-2100,124861,1
168,2135250578361,1773051311004035838,1773049175753457477,10852,-68261,1
169,2135251569408,1773051311005116218,1773049175753546810,-8953,89333,1
170,2135252579813,1773051311006033872,1773049175753454059,10405,-92751,1
171,2135253569958,1773051311007069425,1773049175753499467,-9855,45408,1
172,2135254578306,1773051311008079389,1773049175753501083,8348,1616,1
173,2135255569179,1773051311009086100,1773049175753516921,-9127,15838,1
174,2135256577485,1773051311010026393,1773049175753448908,8306,-68013,1
