id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns,received
273,3235401620917,3235401735322,114405,925,16824,1
274,3235402620282,3235402730226,109944,-635,-4461,1
275,3235403621642,3235403707722,86080,1360,-23864,1
276,3235404619708,3235404701562,81854,-1934,-4226,1
277,3235405706114,3235405914393,208279,86406,126425,1
278,3235406626227,3235406770573,144346,-79887,-63933,1
279,3235407622035,3235407734562,112527,-4192,-31819,1
280,3235409442001,3235410870638,1428637,819966,1316110,1
281,3235410786489,3235410943516,157027,344488,-1271610,1
282,3235411624245,3235411773973,149728,-162244,-7299,1
283,3235412620651,3235412757469,136818,-3594,-12910,1
284,3235413620096,3235413720338,100242,-555,-36576,1
285,3235414619932,3235414735767,115835,-164,15593,1
286,3235415619785,3235415719724,99939,-147,-15896,1
287,3235416619639,3235416705975,86336,-146,-13603,1
288,3235417619057,3235417712505,93448,-582,7112,1
289,3235418720559,3235418934309,213750,101502,120302,1
290,3235419622780,3235419747490,124710,-97779,-89040,1
291,3235420622984,3235420717927,94943,204,-29767,1
292,3235421621222,3235421741885,120663,-1762,25720,1
293,3235422619333,3235422724143,104810,-1889,-15853,1
294,3235423619699,3235423731878,112179,366,7369,1
295,3235426171430,3235427558994,1387564,1551731,1275385,1
296,3235426631956,3235427594548,962592,-539474,-424972,1
297,3235427569646,3235427705056,135410,-62310,-827182,1
298,3235428623241,3235428744955,121714,53595,-13696,1
299,3235429620340,3235429722178,101838,-2901,-19876,1
300,3235430618538,3235430722061,103523,-1802,1685,1
301,3235431622636,3235431735057,112421,4098,8898,1
302,3235432619038,3235432726111,107073,-3598,-5348,1
303,3235433620671,3235433727946,107275,1633,202,1
304,3235434619096,3235434724314,105218,-1575,-2057,1
305,3235435619254,3235435703792,84538,158,-20680,1
306,3235436619712,3235436702848,83136,458,-1402,1
307,3235437620915,3235437751971,131056,1203,47920,1
308,3235438618954,3235438715432,96478,-1961,-34578,1
309,3235439619339,3235439724684,105345,385,8867,1
310,3235440618742,3235440709702,90960,-597,-14385,1
311,3235442686315,3235443388769,702454,1067573,611494,1
312,3235443620908,3235444328192,707284,-65407,4830,1
313,3235444624471,3235444739841,115370,3563,-591914,1
314,3235445622076,3235445742521,120445,-2395,5075,1
315,3235446619746,3235446739246,119500,-2330,-945,1
316,3235447620356,3235447735422,115066,610,-4434,1
317,3235448620371,3235448709803,89432,15,-25634,1
318,3235449745658,3235449985914,240256,125287,150824,1
319,3235450727577,3235450956848,229271,-18081,-10985,1
