id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns
189,1709333744810,1709334062770,317960,-15375,59215
190,1709334805361,1709335082138,276777,60551,-41183
191,1709335652249,1709335799268,147019,-153112,-129758
192,1709336777328,1709337072636,295308,125079,148289
193,1709337757094,1709338055336,298242,-20234,2934
194,1709338776506,1709339064604,288098,19412,-10144
195,1709339761616,1709340063965,302349,-14890,14251
196,1709340603328,1709340741519,138191,-158288,-164158
197,1709341655039,1709341785908,130869,51711,-7322
198,1709342790179,1709343098107,307928,135140,177059
199,1709343765498,1709344072864,307366,-24681,-562
200,1709344765001,1709345045001,280000,-497,-27366
201,1709345660080,1709346034353,374273,-104921,94273
202,1709346759391,1709347061390,301999,99311,-72274
203,1709347773260,1709348068280,295020,13869,-6979
204,1709348754953,1709349016029,261076,-18307,-33944
205,1709349771191,1709350050268,279077,16238,18001
206,1709350756066,1709351033136,277070,-15125,-2007
207,1709351739429,1709352027067,287638,-16637,10568
208,1709352782761,1709353080708,297947,43332,10309
209,1709353653644,1709353809667,156023,-129117,-141924
210,1709354784685,1709355078902,294217,131041,138194
211,1709355758609,1709356056474,297865,-26076,3648
212,1709356767241,1709357074520,307279,8632,9414
213,1709357655567,1709357811520,155953,-111674,-151326
214,1709358759104,1709359052023,292919,103537,136966
215,1709359761988,1709360040471,278483,2884,-14436
216,1709360775416,1709361034267,258851,13428,-19632
217,1709361760938,1709362020130,259192,-14478,341
218,1709362759588,1709363014948,255360,-1350,-3832
219,1709363773354,1709364048209,274855,13766,19495
220,1709364757102,1709365045330,288228,-16252,13373
221,1709365759837,1709366054469,294632,2735,6404
222,1709366775416,1709367093708,318292,15579,23660
223,1709367756367,1709368044478,288111,-19049,-30181
224,1709368763037,1709369045877,282840,6670,-5271
225,1709369768622,1709370060267,291645,5585,8805
226,1709370757881,1709371072655,314774,-10741,23129
227,1709371761067,1709372063228,302161,3186,-12613
228,1709372644819,1709372906116,261297,-116248,-40864
229,1709373776936,1709374066557,289621,132117,28324
230,1709374759651,1709375049027,289376,-17285,-245
231,1709375757116,1709376036881,279765,-2535,-9611
232,1709376762774,1709377052224,289450,5658,9685
233,1709377759426,1709378047859,288433,-3348,-1017
234,1709378757913,1709379013650,255737,-1513,-32696
235,1709379761154,1709380010938,249784,3241,-5953
236,1709380759669,1709381036913,277244,-1485,27460
237,1709381762246,1709382058639,296393,2577,19149
238,1709382773828,1709383054728,280900,11582,-15493
239,1709383764009,1709384058629,294620,-9819,13720
240,1709384761814,1709385040800,278986,-2195,-15634
241,1709385773710,1709386094829,321119,11896,42133
242,1709386758844,1709387037976,279132,-14866,-41987
243,1709387761246,1709388038618,277372,2402,-1760
244,1709388759563,1709389048108,288545,-1683,11173
245,1709389762818,1709390046836,284018,3255,-4527
246,1709390760147,1709391053918,293771,-2671,9753
247,1709391758959,1709392022200,263241,-1188,-30530
248,1709392757867,1709393062843,304976,-1092,41735
249,1709393760280,1709394059267,298987,2413,-5989
250,1709394794881,1709395084338,289457,34601,-9530
251,1709395760759,1709396044096,283337,-34122,-6120
252,1709396769652,1709397079633,309981,8893,26644
253,1709397739188,1709397996067,256879,-30464,-53102
254,1709398756876,1709399066460,309584,17688,52705
255,1709399762748,1709400060323,297575,5872,-12009
256,1709400776093,1709401096789,320696,13345,23121
257,1709401758253,1709402071031,312778,-17840,-7918
258,1709402756970,1709403017666,260696,-1283,-52082
259,1709403761348,1709404049884,288536,4378,27840
260,1709404755978,1709405024867,268889,-5370,-19647
261,1709405756102,1709406041882,285780,124,16891
262,1709406760719,1709407038973,278254,4617,-7526
263,1709407777578,1709408035928,258350,16859,-19904
264,1709408757765,1709409020380,262615,-19813,4265
265,1709409775768,1709410053063,277295,18003,14680
266,1709410785305,1709411051720,266415,9537,-10880
267,1709411771131,1709412100278,329147,-14174,62732
268,1709412759556,1709413057384,297828,-11575,-31319
269,1709413760493,1709414085078,324585,937,26757
270,1709414805155,1709415139975,334820,44662,10235
271,1709415755953,1709416034448,278495,-49202,-56325
272,1709416768390,1709417048377,279987,12437,1492
273,1709417758408,1709418031226,272818,-9982,-7169
274,1709418756452,1709419037672,281220,-1956,8402
275,1709419759175,1709419998267,239092,2723,-42128
276,1709420768415,1709421061396,292981,9240,53889
277,1709421773776,1709422053618,279842,5361,-13139
278,1709422761190,1709423023556,262366,-12586,-17476
279,1709423802005,1709424065988,263983,40815,1617
280,1709424789281,1709425042825,253544,-12724,-10439
281,1709425759826,1709426039294,279468,-29455,25924
282,1709426758264,1709427052144,293880,-1562,14412
283,1709427761139,1709428040609,279470,2875,-14410
284,1709428775215,1709429072608,297393,14076,17923
285,1709429654414,1709429799853,145439,-120801,-151954
286,1709430739175,1709431048529,309354,84761,163915
287,1709431760294,1709432057836,297542,21119,-11812
288,1709432764406,1709433011707,247301,4112,-50241
289,1709433762345,1709434033059,270714,-2061,23413
290,1709434766061,1709435047103,281042,3716,10328
291,1709435761816,1709436022510,260694,-4245,-20348
292,1709436758176,1709437053166,294990,-3640,34296
293,1709437776077,1709438057208,281131,17901,-13859
294,1709438759418,1709439038859,279441,-16659,-1690
295,1709439758249,1709440040470,282221,-1169,2780
296,1709440759759,1709441030435,270676,1510,-11545
297,1709441760603,1709442037784,277181,844,6505
298,1709442757745,1709443035636,277891,-2858,710
299,1709443760095,1709444024981,264886,2350,-13005
300,1709444775621,1709445053250,277629,15526,12743
301,1709445760485,1709446046949,286464,-15136,8835
302,1709446780061,1709447056223,276162,19576,-10302
303,1709447755644,1709448062044,306400,-24417,30238
304,1709448773385,1709449009143,235758,17741,-70642
305,1709449757699,1709450031782,274083,-15686,38325
306,1709450757301,1709451016700,259399,-398,-14684
307,1709451777023,1709452073530,296507,19722,37108
308,1709452758525,1709453042950,284425,-18498,-12082
309,1709453654229,1709453801768,147539,-104296,-136886
310,1709454756404,1709455009811,253407,102175,105868
311,1709455773004,1709456065936,292932,16600,39525
312,1709456756343,1709457063317,306974,-16661,14042
313,1709457761219,1709458063719,302500,4876,-4474
314,1709458777546,1709459110857,333311,16327,30811
315,1709459759862,1709460046518,286656,-17684,-46655
316,1709460757925,1709461059017,301092,-1937,14436
317,1709461759792,1709462034987,275195,1867,-25897
318,1709462756797,1709463031916,275119,-2995,-76
319,1709463757981,1709464029166,271185,1184,-3934
320,1709464790461,1709465090767,300306,32480,29121
321,1709465765976,1709466039615,273639,-24485,-26667
322,1709466758969,1709467047512,288543,-7007,14904
323,1709467762038,1709468035225,273187,3069,-15356
324,1709468755954,1709469010245,254291,-6084,-18896
325,1709469739308,1709469981505,242197,-16646,-12094
326,1709470762103,1709471162472,400369,22795,158172
327,1709471756428,1709474224244,2467816,-5675,2067447
328,1709474160179,1709474488366,328187,1403751,-2139629
329,1709474879260,1709477429915,2550655,-280919,2222468
330,1709477251845,1709477561739,309894,1372585,-2240761
331,1709477655160,1709477812488,157328,-596685,-152566
332,1709478664389,1709478839198,174809,9229,17481
333,1709479771408,1709480070458,299050,107019,124241
334,1709480654058,1709481137177,483119,-117350,184069
335,1709481650232,1709481745864,95632,-3826,-387487
336,1709482647577,1709482750212,102635,-2655,7003
337,1709483647732,1709483758861,111129,155,8494
338,1709484647435,1709484741143,93708,-297,-17421
339,1709485646958,1709485737414,90456,-477,-3252
340,1709486647865,1709486748172,100307,907,9851
341,1709487648651,1709487749746,101095,786,788
342,1709488648961,1709488747186,98225,310,-2870
343,1709489648189,1709489772723,124534,-772,26309
344,1709490649494,1709494054855,3405361,1305,3280827
345,1709493924376,1709494101179,176803,2274882,-3228558
346,1709494647425,1709494741412,93987,-276951,-82816
347,1709495648741,1709495756081,107340,1316,13353
348,1709496649034,1709496733389,84355,293,-22985
349,1709497647543,1709497727540,79997,-1491,-4358
350,1709498646850,1709498759272,112422,-693,32425
351,1709499647726,1709499726657,78931,876,-33491
352,1709500646550,1709500727703,81153,-1176,2222
353,1709501646474,1709501736161,89687,-76,8534
354,1709502646684,1709502729973,83289,210,-6398
355,1709503645890,1709503713427,67537,-794,-15752
356,1709504645463,1709504732243,86780,-427,19243
357,1709505646310,1709505724668,78358,847,-8422
358,1709506645126,1709506710052,64926,-1184,-13432
359,1709507645361,1709507724156,78795,235,13869
